seed,overall_accuracy,macro_accuracy,n_test
0,0.8137432188065099,0.8141912452878299,553
1,0.840867992766727,0.8119438914918709,553
2,0.8354430379746836,0.7898194525334886,553
3,0.8300180831826401,0.8456430138185022,553
4,0.810126582278481,0.8040797178927725,553
5,0.840867992766727,0.8271509661940734,553
6,0.8300180831826401,0.6383891839579041,553
7,0.8372513562386981,0.8490202453081128,553
8,0.8734177215189873,0.8284604351567729,553
9,0.8010849909584087,0.6063073102744866,553
10,0.8517179023508138,0.6703201522961779,553
11,0.8716094032549728,0.8638003343793554,553
12,0.840867992766727,0.8330179040731114,553
13,0.8499095840867993,0.8127981525105978,553
14,0.8119349005424955,0.8554972371688441,553
15,0.8372513562386981,0.6303622249845705,553
16,0.8625678119349005,0.6028148714783682,553
17,0.7974683544303798,0.8015854912971543,553
18,0.8462929475587704,0.6576529698623945,553
19,0.8481012658227848,0.7602535951575843,553
20,0.8264014466546112,0.8018316107291149,553
21,0.7685352622061483,0.7450646012801456,553
22,0.8173598553345389,0.6162903595012705,553
23,0.833634719710669,0.8259801168878959,553
24,0.8788426763110307,0.8406862020706021,553
25,0.7974683544303798,0.8346943210563375,553
26,0.810126582278481,0.8503837828910197,553
27,0.8426763110307414,0.8739357956866801,553
28,0.7992766726943942,0.7977687566825165,553
29,0.8354430379746836,0.8108592158601287,553
30,0.8209764918625678,0.814755749499445,553
31,0.8842676311030742,0.8764752243442079,553
32,0.8264014466546112,0.8385748601199013,553
33,0.8625678119349005,0.8294597484331401,553
34,0.8318264014466547,0.8050055488428562,553
35,0.8788426763110307,0.8415303795524416,553
36,0.8716094032549728,0.8490032076078547,553
37,0.8282097649186256,0.8010573805405123,553
38,0.810126582278481,0.7607551062393333,553
39,0.8390596745027125,0.8289162226143597,553
40,0.810126582278481,0.7789451693193902,553
41,0.8209764918625678,0.8018704381412679,553
42,0.7739602169981917,0.775502858450902,553
43,0.8462929475587704,0.8753234989873,553
44,0.8083182640144665,0.6369921504880953,553
45,0.8679927667269439,0.5970676611120286,553
46,0.8191681735985533,0.849972212322198,553
47,0.8517179023508138,0.8382612273518836,553
48,0.7974683544303798,0.8322320256608629,553
49,0.701627486437613,0.7047323661251113,553
50,0.8155515370705244,0.8185902751820399,553
51,0.8589511754068716,0.8223195032409298,553
52,0.7848101265822784,0.8067367298626262,553
53,0.8318264014466547,0.6480866488755987,553
54,0.8227848101265823,0.7884136104567435,553
55,0.8155515370705244,0.6277389986584259,553
56,0.8372513562386981,0.8068317121439975,553
57,0.8607594936708861,0.8750641086935735,553
58,0.8318264014466547,0.6230439532100708,553
59,0.8209764918625678,0.8347756847677743,553
60,0.833634719710669,0.5804036891836681,553
61,0.840867992766727,0.8356432745996285,553
62,0.7956600361663653,0.8115413033840697,553
63,0.8806509945750453,0.8427481115100097,553
64,0.840867992766727,0.559495069787927,553
65,0.8245931283905967,0.8285431897008841,553
66,0.8499095840867993,0.8317900885786559,553
67,0.8028933092224232,0.767745025600014,553
68,0.8589511754068716,0.6622454993523935,553
69,0.8481012658227848,0.8518895910662181,553
70,0.8607594936708861,0.6606675996835856,553
71,0.8571428571428571,0.848885102733276,553
72,0.895117540687161,0.8800527357388944,553
73,0.8119349005424955,0.8473436544708027,553
74,0.8300180831826401,0.8513910355039016,553
75,0.8300180831826401,0.8068032580255391,553
76,0.8589511754068716,0.8539498778675056,553
77,0.8896925858951176,0.6293058875685638,553
78,0.8734177215189873,0.676273263849651,553
79,0.840867992766727,0.8750803350747717,553
80,0.8462929475587704,0.8336718851867626,553
81,0.8444846292947559,0.8492234807326211,553
82,0.8083182640144665,0.7491016669709113,553
83,0.8264014466546112,0.8103230498642489,553
84,0.759493670886076,0.7651446900616312,553
85,0.8806509945750453,0.7861633590927135,553
86,0.8535262206148282,0.8271549648380114,553
87,0.8245931283905967,0.7955262128495553,553
88,0.786618444846293,0.5275249842806933,553
89,0.8318264014466547,0.6004212484461792,553
90,0.8300180831826401,0.837115586887925,553
91,0.8499095840867993,0.8354902830054736,553
92,0.8535262206148282,0.8048331435426247,553
93,0.8047016274864376,0.7865050403196598,553
94,0.8209764918625678,0.8148584393118856,553
95,0.8245931283905967,0.6281473239510079,553
96,0.8481012658227848,0.8243576526221542,553
97,0.8010849909584087,0.6139112822607985,553
98,0.864376130198915,0.8119999884097278,553
99,0.9041591320072333,0.8851856037227954,553
