run_id,best_C,best_gamma,best_kernel,cv_score,test_macro_optimized,test_overall_optimized,test_macro_default,test_overall_default,improvement
0,1.0,scale,rbf,0.9371428571428572,0.9012653939308413,0.9212454212454212,0.9012653939308413,0.9212454212454212,0.0
1,10.0,0.001,rbf,0.9085714285714286,0.9549386836988317,0.9432234432234432,0.9125011641655079,0.924908424908425,0.042437519533323864
2,0.01,scale,linear,0.9314285714285713,0.9317855382912287,0.9157509157509157,0.9357509712244496,0.8992673992673993,-0.003965432933220936
3,1.0,scale,rbf,0.9257142857142856,0.897958112459257,0.9120879120879121,0.897958112459257,0.9120879120879121,0.0
4,1.0,0.001,rbf,0.9199999999999999,0.8802831888989612,0.9230769230769231,0.8795764751180425,0.9212454212454212,0.0007067137809186885
5,1.0,0.001,rbf,0.9428571428571428,0.9065679903488222,0.9139194139194139,0.9058612765679035,0.9120879120879121,0.0007067137809186885
6,0.01,scale,linear,0.9085714285714286,0.9576384185858127,0.9377289377289377,0.9505967021356512,0.9175824175824175,0.007041716450161495
7,0.01,scale,linear,0.9314285714285715,0.9083552937228385,0.8992673992673993,0.8971495721058067,0.8846153846153846,0.011205721617031816
8,0.01,scale,linear,0.9085714285714286,0.8978794974151956,0.9322344322344323,0.925577726426894,0.9267399267399268,-0.027698229011698383
9,10.0,scale,rbf,0.9142857142857143,0.9319613660907772,0.9523809523809523,0.931986787449803,0.9505494505494505,-2.5421359025834533e-05
10,10.0,0.001,rbf,0.9257142857142858,0.9326193723088412,0.9304029304029304,0.9422639368484381,0.9267399267399268,-0.009644564539596945
11,10.0,0.001,rbf,0.9314285714285715,0.9600126592655285,0.9358974358974359,0.951277994557544,0.9212454212454212,0.008734664707984452
12,10.0,0.001,rbf,0.9257142857142858,0.9361020984953832,0.9432234432234432,0.9434994720237441,0.9377289377289377,-0.0073973735283608955
13,0.01,scale,linear,0.9314285714285713,0.9164320093394082,0.9304029304029304,0.93985979279466,0.9358974358974359,-0.02342778345525187
14,0.01,scale,linear,0.9371428571428572,0.9222910542342134,0.9194139194139194,0.9289564203174931,0.924908424908425,-0.006665366083279722
15,10.0,0.001,rbf,0.9314285714285715,0.947037654745382,0.9157509157509157,0.9237367932637464,0.8956043956043956,0.023300861481635682
16,0.01,scale,linear,0.9428571428571428,0.9465804264843785,0.9377289377289377,0.9470632037992717,0.924908424908425,-0.0004827773148932124
17,10.0,scale,rbf,0.9200000000000002,0.9269126136200285,0.9304029304029304,0.9240857584963538,0.9230769230769231,0.002826855123674754
18,0.01,scale,linear,0.9314285714285715,0.9209793826766933,0.924908424908425,0.8991174978107844,0.9175824175824175,0.021861884865908898
19,1.0,0.001,rbf,0.9428571428571428,0.9271689186803993,0.9120879120879121,0.9279772607707718,0.9120879120879121,-0.0008083420903725047
